Period 1996 - 2005 - Country - Unnamed: 0_level_2,Period 1996 - 2005 - Population  (thousands) - Unnamed: 1_level_2,Period 1996 - 2005 - Water footprint of consumption of agricultural products - Internal,Period 1996 - 2005 - Water footprint of consumption of agricultural products - Internal.1,Period 1996 - 2005 - Water footprint of consumption of agricultural products - Internal.2,Period 1996 - 2005 - Water footprint of consumption of agricultural products - External,Period 1996 - 2005 - Water footprint of consumption of agricultural products - External.1,Period 1996 - 2005 - Water footprint of consumption of agricultural products - External.2,Period 1996 - 2005 - Water footprint of consumption of industrial products - Internal,Period 1996 - 2005 - Water footprint of consumption of industrial products - Internal.1,Period 1996 - 2005 - Water footprint of consumption of industrial products - External,Period 1996 - 2005 - Water footprint of consumption of industrial products - External.1,Period 1996 - 2005 - Water footprint of domestic water consumption - Unnamed: 12_level_2,Period 1996 - 2005 - Water footprint of domestic water consumption - Unnamed: 13_level_2,Period 1996 - 2005 - Total water footprint of national consumption - Internal,Period 1996 - 2005 - Total water footprint of national consumption - Internal.1,Period 1996 - 2005 - Total water footprint of national consumption - Internal.2,Period 1996 - 2005 - Total water footprint of national consumption - External,Period 1996 - 2005 - Total water footprint of national consumption - External.1,Period 1996 - 2005 - Total water footprint of national consumption - External.2,Period 1996 - 2005 - Total water footprint of national consumption - Total,Period 1996 - 2005 - Total water footprint of national consumption - Total.1,Period 1996 - 2005 - Total water footprint of national consumption - Total.2,Period 1996 - 2005 - Total water footprint of national consumption - Total.3
,,Green,Blue,Grey,Green,Blue,Grey,Blue,Grey,Blue,Grey,blue,grey,Green,Blue,Grey,Green,Blue,Grey,Green,Blue,Grey,Total
Bahamas,306.3,200.7717391526598,0,0,1348.8874706876604,140.10066104741762,136.65918822800475,0,0,27.32036987743272,279.1716212455494,0,0,200.7717391526598,0,0,1348.8874706876604,167.42103092485036,415.83080947355415,1549.6592098403203,167.42103092485036,415.83080947355415,2132.911050238725
Bangladesh,141966.7,477.9217074382401,54.35889621510056,72.92821383588559,98.07717816817689,22.38291067277338,11.182361849390377,0.08164585617360036,1.4141195229700425,0.1312486556552173,1.8401918836545885,2.828832395202537,25.459491556822833,477.9217074382401,57.2693744664767,99.80182491567845,98.07717816817689,22.514159328428597,13.022553733044965,575.9988856064169,79.7835337949053,112.82437864872342,768.6067980500457
Barbados,253.0,552.9806883494274,1.4472971160478227,24.916473871969785,941.2628260733527,108.3173665962794,120.54629279207198,6.559189511726143,123.84637161248675,9.025069782476583,82.38544646699877,11.857707509881422,106.71936758893281,552.9806883494274,19.86419413765539,255.48221307338932,941.2628260733527,117.34243637875598,202.93173925907075,1494.24351442278,137.20663051641137,458.4139523324601,2089.8640972716516
Belarus,10030.1,1091.1624835812345,7.532041497499874,199.2766272270861,215.75851904340703,37.4180754007387,10.766163866677926,5.288316767967298,4.606082341325059,6.809251145583371,113.0516062419411,6.4804937139210965,19.488848684998334,1091.1624835812345,19.300851979388266,223.37155825340946,215.75851904340703,44.22732654632207,123.81777010861904,1306.9210026246415,63.52817852571033,347.18932836202856,1717.6385095123803
Belgium,10401.0,34.53207641531191,0.1108892036333889,9.964742949331741,1181.1749943653697,92.63623101099111,97.32349356208371,14.43592348056673,112.05836788224079,27.886042936307387,283.3555883176056,7.143543890010577,26.922115135753153,34.53207641531191,21.690356574210696,148.94522596732568,1181.1749943653697,120.5222739472985,380.67908187968936,1215.7070707806818,142.2126305215092,529.624307847015,1887.544009149206
Belize,254.6,1154.7382259426063,16.253076493351927,246.62568643730484,120.92155075822586,34.23087199173457,25.746393112208104,19.064955223768138,306.5130376564534,4.279365825728565,45.30074497813155,3.9277297721916735,32.758247461168544,1154.7382259426063,39.24576148931174,585.8969715549268,120.92155075822586,38.51023781746313,71.04713809033964,1275.659776700832,77.75599930677487,656.9441096452664,2010.3598856528733
Benin,6820.0,1020.1679484388864,1.0430608575359919,5.1811281168621015,67.28327362108458,20.014469025985676,8.61307870617202,0.20827926586874024,3.931902574359796,0.2756021720608787,3.321848433368284,0.6011730205278593,5.410557184750734,1020.1679484388864,1.8525131439325915,14.523587875972632,67.28327362108458,20.29007119804655,11.934927139540303,1087.4512220599709,22.14258434197914,26.458515015512933,1136.0523214174627
Bermuda,63.0,6.805632528874688,1.9522686217678695,4.81281430601165,1706.9061970537177,150.099907708291,128.49682336326995,0,0,80.05961912676291,916.2065401095,0,0,6.805632528874688,1.9522686217678695,4.81281430601165,1706.9061970537177,230.15952683505392,1044.70336347277,1713.7118295825924,232.11179545682177,1049.5161777787816,2995.3398028181955
Bolivia,8408.8,3063.9307498603057,44.815770874795525,7.892255635721821,295.944823853016,14.794693451115617,11.575350265951037,0.45615125734525974,5.831155955757133,0.4733756096422206,4.598182620351449,2.1406145942346115,15.44624583699237,3063.9307498603057,47.41253672637539,29.16965742847132,295.944823853016,15.268069060757837,16.173532886302485,3359.875573713322,62.68060578713324,45.343190314773814,3467.899369815229
Bosnia and Herzegovina,3631.7,659.0134198447428,4.667443129176692,33.20653554592557,408.2490819142272,24.305131971073887,62.967246710328645,0,0,4.461438895883783,59.278817409394996,0,0,659.0134198447428,4.667443129176692,33.20653554592557,408.2490819142272,28.76657086695767,122.24606411972364,1067.2625017589698,33.43401399613436,155.45259966564922,1256.1491154207533
